Source,Target,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
D9Mit151,pctFat,-0.387197004301673,0.0707811586055827,5.47034001603831,0,0
D9Mit151,Femur.Length,-0.552647573686808,0.101163367101263,5.46292190070757,0,0
D15Mit67,body.weight,0.504092231871046,0.0922821567795035,5.4625102995318,0,0
D4Mit111,body.weight,0.514655545312997,0.0942630794389541,5.45977861508645,0,0
D4Mit111,cort.thick,0.496713542979075,0.0910138453973085,5.45756022955343,0,0
D9Mit151,body.weight,-0.52209412613577,0.0957739107746756,5.45131886035316,0,0
D9Mit259,BV.CORTICAL,-0.636111057262999,0.116832880824397,5.44462357492571,0,0
D2MIT285,Final.IGF.1,0.260448026841132,0.0478472881095151,5.44331846446566,0,0
D2MIT285,C.Th,0.541052683774953,0.0994003933641188,5.44316441277042,0,0
D9Mit151,STIFFNESS,-0.60348677698049,0.110873299143814,5.4430307534883,0,0
D2MIT285,Tb.N,0.271893840724717,0.0499704642908115,5.4410909440902,0,0
D13Mit88,Tb.N,0.261465116559073,0.0481110901251973,5.4346121835667,0,0
D17Mit76,cort.thick,0.488600983232681,0.0899146602564893,5.43405248753545,0,0
D9Mit253,pctFat,-0.377363554541707,0.069444769758495,5.43400972966067,0,0
D15Mit67,Femur.Length,0.529589155656016,0.0974613602948915,5.43383710276179,0,0
D11Mit2,Tb.N,0.236767331616246,0.0435940215451713,5.43118811305152,0,0
D4Mit111,STIFFNESS,0.591922767826298,0.109142490260265,5.4233943756898,0,0
D8Mit200,endo.c,-0.570750835223304,0.105286245176872,5.42094396342553,0,0
D15Mit67,pctFat,0.368762544091578,0.0681835646236087,5.40837878053523,0,0
D11Mit2,C.Th,0.468715809711357,0.0867230129715119,5.40474544934604,0,0
D13Mit88,C.Th,0.516754852221262,0.0957152795984861,5.39887523067357,0,0
D9Mit259,BMD.g.cm2,-0.590676627325614,0.109770771629442,5.38100095824767,0,0
D10Mit77,BV.TV.TRABECULAR,-0.333453802782382,0.0620655639304484,5.37260570380147,0,0
D1Mit7,BV.TV,0.547396141117363,0.102382674258139,5.34657006259873,0,0
D2MIT285,BV.TV.TRABECULAR,0.332047890582252,0.0621108525269795,5.34605269567051,0,0
