Source,Target,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
D9Mit1001,peri.c,-0.658967257174518,0.112569113036924,5.85389046246078,0,< 0.00323
D2MIT285,C.Th,0.67245219807595,0.115032806939848,5.84574275778199,0,< 0.00323
D9Mit1006,TV,-0.679178086035903,0.116323705891702,5.83869023798317,0,< 0.00323
D15Mit67,TV,0.682885610669533,0.117084179515431,5.83243281454205,0,< 0.00323
D15Mit67,peri.c,0.659773839896897,0.113228768843771,5.82690995083795,0,< 0.00323
D9Mit1001,TV,-0.677092625603253,0.116418960310929,5.81599959143158,0,< 0.00323
D9Mit259,TV,-0.70906197866815,0.122311655996758,5.79717421769636,0,< 0.00323
D14MIT60,D7MIT93,-1.0545197798527,0.181937538896454,5.7960538888726,0,< 0.00323
D4Mit42,STIFFNESS,0.618558159472699,0.106993251680764,5.78128199447844,0,< 0.00323
D11Mit188,C.Th,0.632628758696543,0.109717146194607,5.76599720862628,0,< 0.00323
D9Mit259,Femur.Length,-0.600667468485633,0.104228724378311,5.7629743822388,0,< 0.00323
D15Mit67,STIFFNESS,0.635398850041038,0.110429963390438,5.75386272468926,0,< 0.00323
D4Mit170,cort.thick,0.653365097335645,0.11360619427344,5.7511397289047,0,< 0.00323
D9Mit1001,Femur.Length,-0.559188970763895,0.0973100422459845,5.74646724898499,0,< 0.00323
D9Mit12,Tb.N,-0.652199811466113,0.113622324103869,5.74006751410837,0,< 0.00323
D13Mit88,C.Th,0.635853037050898,0.111309007925425,5.71250295822337,0,< 0.00323
D18Mit64,BV.CORTICAL,0.623756329998163,0.109330599159819,5.70523105874832,0,< 0.00323
D2MIT285,cort.thick,0.631659026979013,0.110730175910557,5.70448860741664,0,< 0.00323
D14Mit5,pctFat,-0.619283135177554,0.10871497747799,5.69639206615236,0,< 0.00323
D4Mit42,D4Mit111,-0.774927085661453,0.136148625306366,5.69177311866123,0,< 0.00323
D9Mit1006,endo.c,-0.70670843300421,0.124332878842033,5.68400281233812,0,< 0.00323
D8Mit292,C.Th,0.685794334483168,0.120739570489663,5.67994677885559,0,< 0.00323
D9Mit1006,Femur.Length,-0.569049866081285,0.100466566426338,5.66407200248565,0,< 0.00323
D17Mit76,Femur.Length,-0.593284977570997,0.104829715439332,5.65951147615532,0,< 0.00323
D8Mit292,pQCT.fem.dens,0.664387509316632,0.117408182809582,5.65878368455939,0,< 0.00323
D8Mit124,endo.c,-0.628486063710421,0.111064914132247,5.65872731835068,0,< 0.00323
D2Mit323,Tb.N,-0.613004662437671,0.108851148759103,5.63158652366914,0,< 0.00323
D17MIT175,D19Mit40,-1.16548935563682,0.207023253407245,5.62975094079952,0,< 0.00323
D4Mit42,cort.thick,0.617622790517414,0.109784392438953,5.62577955569461,0,< 0.00323
D18Mit64,cort.thick,0.563050086396084,0.100229359828273,5.61761630884183,0,< 0.00323
D17Mit20,pctFat,-0.700997117283227,0.12502288387025,5.60695046844966,0,< 0.00323
